Category,Basic_Precision,Enhanced_Precision,Prec_Delta,Basic_Recall,Enhanced_Recall,Rec_Delta,Basic_F1,Enhanced_F1,F1_Delta,Support
ECS BOUNCED CHARGES,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,3
TRANSFER OUT,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,6
SALARY RECEIVED,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,7
RECHARGE,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,0.8333333333333334,6
LOAN,0.4,1.0,0.6,0.3076923076923077,1.0,0.6923076923076923,0.34782608695652173,1.0,0.6521739130434783,13
E-COMMERCE,0.0,0.14285714285714285,0.14285714285714285,0.0,1.0,1.0,0.0,0.25,0.25,1
ELECTRONIC FUND TRANSFER,0.8137931034482758,0.9906542056074766,0.1768611021592008,0.9752066115702479,0.8760330578512396,-0.09917355371900827,0.8872180451127819,0.9298245614035088,0.04260651629072687,121
TRAVEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
UTILITY,0.6,0.2727272727272727,-0.32727272727272727,1.0,1.0,0.0,0.75,0.42857142857142855,-0.32142857142857145,3
INTEREST,1.0,0.5,-0.5,1.0,1.0,0.0,1.0,0.6666666666666666,-0.33333333333333337,1
