true_label,predicted_label,count
ELECTRONIC FUND TRANSFER,ELECTRONIC FUND TRANSFER,23
ELECTRONIC FUND TRANSFER,LOAN,0
ELECTRONIC FUND TRANSFER,RECHARGE,0
ELECTRONIC FUND TRANSFER,SALARY RECEIVED,0
ELECTRONIC FUND TRANSFER,TRAVEL,0
LOAN,ELECTRONIC FUND TRANSFER,0
LOAN,LOAN,2
LOAN,RECHARGE,0
LOAN,SALARY RECEIVED,0
LOAN,TRAVEL,0
RECHARGE,ELECTRONIC FUND TRANSFER,0
RECHARGE,LOAN,0
RECHARGE,RECHARGE,0
RECHARGE,SALARY RECEIVED,0
RECHARGE,TRAVEL,0
SALARY RECEIVED,ELECTRONIC FUND TRANSFER,0
SALARY RECEIVED,LOAN,0
SALARY RECEIVED,RECHARGE,0
SALARY RECEIVED,SALARY RECEIVED,1
SALARY RECEIVED,TRAVEL,0
TRAVEL,ELECTRONIC FUND TRANSFER,1
TRAVEL,LOAN,0
TRAVEL,RECHARGE,0
TRAVEL,SALARY RECEIVED,0
TRAVEL,TRAVEL,0
