Narration,Label
NACH_AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH/AD__CHRG~OF / BNKBFLF~02AUG24~B735E9A~ICIC7 / 12380,ACH BOUNCED CHARGES
NACH_RTN_AD_CHRG~OF BNKBFLF~03JUL24~4270263~ICIC7,ACH BOUNCED CHARGES
NACH_AD_RTN / CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD__CHRG~OF BNKBFLF~02JUL24~1E02320~SME00 / 29971,ACH BOUNCED CHARGES
NACH_RTN_AD_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_RTN AD_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH / AD/RTN_CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_BNKBFLF~02AUG24~B735E9A~ICIC7 CHRG~OF,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
NACH / AD_RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
_AD-RTN_CHRG~OF BNKBFLF~02AUG24~B735E9A~ICIC7,ACH BOUNCED CHARGES
NACH_AD/RTN CHRG~OF BNKBFLF~02JUL24~1E02320~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN/CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD_RTN_CHRG~OF / BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
AD_NACH/RTN_CHRG~OF BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH_AD RTN_CHRG~OF BNKBFLF~03JUL24~E82C515~SME00,ACH BOUNCED CHARGES
NACH_AD-RTN_CHRG~IPRULI~15JUN24~77394D3~73221937,ACH BOUNCED CHARGES
NACH_AD-CHRG~OF_RTN BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH AD_RTN_ BNKBFLF~02AUG24~2F2E91F~SME00,ACH BOUNCED CHARGES
NACH-AD_RTN_CHRG~OF BNKBFLF~02JUL24~06F5068~ICIC7,ACH BOUNCED CHARGES
